ID,Author Name,Created Date,Description,Tags,Indicators
54d5027011d408112979ce3a,AlienVault,2015-02-06T18:05:36.487000,,,id:1237;content:;created:2015-02-06T18:05:36;description:;expiration:True;indicator:http://ems-medienservice.info/js/bin.exe;is_active:1;role:True;title:;type:URL;id:1238;content:;created:2015-02-06T18:05:36;description:;expiration:True;indicator:http://webcredit.be/js/bin.exe;is_active:1;role:True;title:;type:URL;id:1239;content:;created:2015-02-06T18:05:36;description:;expiration:True;indicator:http://solutronixfze.com/js/bin.exe;is_active:1;role:True;title:;type:URL;id:1240;content:;created:2015-02-06T18:05:36;description:;expiration:True;indicator:http://www.gmilitaru.home.ro/js/bin.exe;is_active:1;role:True;title:;type:URL;id:1241;content:;created:2015-02-06T18:05:36;description:;expiration:True;indicator:www.gmilitaru.home.ro;is_active:1;role:True;title:;type:hostname
54d10e3a11d4083acf970928,AlienVault,2015-02-03T18:06:50.550000,,,id:1124;content:;created:2015-02-03T18:06:51;description:;expiration:True;indicator:retilio.com;is_active:1;role:True;title:;type:domain;id:1125;content:;created:2015-02-03T18:06:51;description:;expiration:True;indicator:www.retilio.com;is_active:1;role:True;title:;type:hostname;id:1126;content:;created:2015-02-03T18:06:51;description:;expiration:True;indicator:CVE-2015-0313;is_active:1;role:True;title:;type:CVE;id:1127;content:;created:2015-02-03T18:06:51;description:;expiration:True;indicator:CVE-2015-0311;is_active:1;role:True;title:;type:CVE
54d10cb411d4083acf970927,AlienVault,2015-02-03T18:00:20.626000,,,id:1124;content:;created:2015-02-03T18:00:21;description:;expiration:True;indicator:retilio.com;is_active:1;role:True;title:;type:domain;id:1126;content:;created:2015-02-03T18:00:21;description:;expiration:True;indicator:CVE-2015-0313;is_active:1;role:True;title:;type:CVE;id:1127;content:;created:2015-02-03T18:00:21;description:;expiration:True;indicator:CVE-2015-0311;is_active:1;role:True;title:;type:CVE
54b6b08d11d4080471a1a38e,AlienVault,2015-01-14T18:08:13.678000,,,id:608;content:;created:2015-01-14T18:08:14;description:;expiration:True;indicator:7ad1bef0ba61dbed98d76d4207676d08c893fc13;is_active:1;role:True;title:;type:FileHash-SHA1;id:609;content:;created:2015-01-14T18:08:14;description:;expiration:True;indicator:d433f281cf56015941a1c2cb87066ca62ea1db37;is_active:1;role:True;title:;type:FileHash-SHA1;id:610;content:;created:2015-01-14T18:08:14;description:;expiration:True;indicator:241075fc1493172c47d881bcbfbf21cfa4daa42d;is_active:1;role:True;title:;type:FileHash-SHA1;id:611;content:;created:2015-01-14T18:08:14;description:;expiration:True;indicator:c86b13378ba2a41684e1f93b4c20e05fc5d3d5a3;is_active:1;role:True;title:;type:FileHash-SHA1;id:612;content:;created:2015-01-14T18:08:14;description:;expiration:True;indicator:51ac683df63ff71a0003ca17e640bbeaaa14d0aa;is_active:1;role:True;title:;type:FileHash-SHA1;id:613;content:;created:2015-01-14T18:08:14;description:;expiration:True;indicator:b491c14d8cfb48636f6095b7b16555e9a575d57f;is_active:1;role:True;title:;type:FileHash-SHA1;id:614;content:;created:2015-01-14T18:08:14;description:;expiration:True;indicator:82448eb23ea9eb3939b6f24df46789bf7f2d43e3;is_active:1;role:True;title:;type:FileHash-SHA1
6278ea3d58e28081506ff716,BotnetExposer,2022-05-09T10:17:32.013000,Scans hitting the server at TCP port 445 SMB. Same IP should not appear more than once in 96 hours in our lists S3#.,,
6278ceb264914d0ac2e96c94,jamesbrine,2022-05-09T08:20:02.817000,IPV4 hosts detected attempting to exploit Google Dork attacks on private honeypot,,
6278d10a09d46b1d81acc1ef,jamesbrine,2022-05-09T08:30:02.308000,IPV4 hosts detected attempting to brute force telnet on private honeypot,,
6278d10b2839b2ff26717960,jamesbrine,2022-05-09T08:30:03.508000,IPV4 hosts detected attempting to brute force MSSQL on private honeypot,,
6278d10cd30418add5f31118,jamesbrine,2022-05-09T08:30:04.204000,IPV4 hosts detected attempting to attack SIP on private honeypot,,
613f6549800a5eea6ad59224,AlienVault,2021-09-13T14:50:48.630000,"Conti is a top player in the ransomware ecosystem, being listed as 2nd overall in the Q2 2021 Coveware ransomware report. The groups deploying this RaaS have only grown more prevalent. Despite the group having it’s affiliate guide leaked, which revealed many techniques already covered in previous reports, the group’s using the ransomware are unlikely to let up any time soon.
In July The Dfir Report team witnessed a BazarLoader campaign that deployed Cobalt Strike and ended with domain wide encryption using Conti ransomware.",,"id:2646209326;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:a0e9f5d64349fb13191bc781f81f42e1;is_active:1;role:True;title:;type:FileHash-MD5;id:2646209330;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:ae4edc6faf64d08308082ad26be60767;is_active:1;role:True;title:;type:FileHash-MD5;id:2646209332;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:e35df3e00ca4ef31d42b34bebaa2f86e;is_active:1;role:True;title:;type:FileHash-MD5;id:2646209336;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:72a589da586844d7f0818ce684948eea;is_active:1;role:True;title:;type:FileHash-MD5;id:2833211708;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:63de40c7382bbfe7639f51262544a3a62d0270d259e3423e24415c370dd77a60;is_active:1;role:True;title:;type:FileHash-SHA256;id:2833211712;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:a780085d758aa47bddd1e088390b3bcc0a3efc2e;is_active:1;role:True;title:;type:FileHash-SHA1;id:3109741830;content:;created:2021-09-13T14:50:50;description:Registered=06/24/2021 Registrar=NameCheap, Inc.;expiration:True;indicator:sammitng.com;is_active:1;role:True;title:;type:domain;id:3163420489;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:a290ce75c6c6b37af077b72dc9c2c347a2eede4fafa6551387fa8469539409c7;is_active:1;role:True;title:;type:FileHash-SHA256;id:3163420495;content:;created:2021-09-13T14:50:50;description:SHA1 of a290ce75c6c6b37af077b72dc9c2c347a2eede4fafa6551387fa8469539409c7;expiration:True;indicator:092ac6f8d072c4cf045e35a839d5bb8f1360f1ae;is_active:1;role:True;title:;type:FileHash-SHA1;id:3163420506;content:;created:2021-09-13T14:50:50;description:MD5 of a290ce75c6c6b37af077b72dc9c2c347a2eede4fafa6551387fa8469539409c7;expiration:True;indicator:16cde93b441e4363700dfbf34c687b08;is_active:1;role:True;title:;type:FileHash-MD5;id:3228116554;content:;created:2021-09-13T14:50:50;description:MD5 of 24f692b4ee982a145abf12c5c99079cfbc39e40bd64a3c07defaf36c7f75c7a9;expiration:True;indicator:215e0accdf538d48a8a7bf79009e8f9b;is_active:1;role:True;title:;type:FileHash-MD5;id:3228116557;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:abbbd0e30c4e66ad59518b9460dbcdfd;is_active:1;role:True;title:;type:FileHash-MD5;id:3228116559;content:;created:2021-09-13T14:50:50;description:SHA1 of 24f692b4ee982a145abf12c5c99079cfbc39e40bd64a3c07defaf36c7f75c7a9;expiration:True;indicator:4ff45fb8003ab1075bdbbc9d044b7c31374f3cdb;is_active:1;role:True;title:;type:FileHash-SHA1;id:3228116561;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:bf92ce7c065568c1b893c1ababa04eeffedadcca;is_active:1;role:True;title:;type:FileHash-SHA1;id:3228116562;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:e115f1be72f730bf3a7b7d9e2ec9e4b7b7a4b5e7;is_active:1;role:True;title:;type:FileHash-SHA1;id:3228116563;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:24f692b4ee982a145abf12c5c99079cfbc39e40bd64a3c07defaf36c7f75c7a9;is_active:1;role:True;title:;type:FileHash-SHA256;id:3228116564;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:37b264e165e139c3071eb1d4f9594811f6b983d8f4b7ef1fe56ebf3d1f35ac89;is_active:1;role:True;title:;type:FileHash-SHA256;id:3228116567;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:9d63a34f83588e208cbd877ba4934d411d5273f64c98a43e56f8e7a45078275d;is_active:1;role:True;title:;type:FileHash-SHA256;id:3228241911;content:rule case_5087_24f692b4ee982a145abf12c5c99079cfbc39e40bd64a3c07defaf36c7f75c7a9 { 
   meta: 
      description = ""Files - file 24f692b4ee982a145abf12c5c99079cfbc39e40bd64a3c07defaf36c7f75c7a9.exe"" 
      author = ""The DFIR Report"" 
      reference = ""https://thedfirreport.com"" 
      date = ""2021-08-30"" 
      hash1 = ""24f692b4ee982a145abf12c5c99079cfbc39e40bd64a3c07defaf36c7f75c7a9"" 
   strings: 
      $s1 = ""fbtwmjnrrovmd.dll"" fullword ascii 
      $s2 = ""AppPolicyGetProcessTerminationMethod"" fullword ascii 
      $s3 = "" Type Descriptor'"" fullword ascii 
      $s4 = ""operator co_await"" fullword ascii 
   condition: 
      uint16(0) == 0x5a4d and filesize < 900KB and all of them 
};created:2021-09-13T14:50:50;description:Files - file 24f692b4ee982a145abf12c5c99079cfbc39e40bd64a3c07defaf36c7f75c7a9.exe;expiration:True;indicator:e458fa0d1dfe88ada943c9c77c7a17c938f30a2b;is_active:1;role:True;title:case_5087_24f692b4ee982a145abf12c5c99079cfbc39e40bd64a3c07defaf36c7f75c7a9;type:YARA;id:3228241912;content:rule case_5087_7A86 { 
   meta: 
      description = ""Files - file 7A86.dll"" 
      author = ""The DFIR Report"" 
      reference = ""https://thedfirreport.com"" 
      date = ""2021-08-30"" 
      hash1 = ""9d63a34f83588e208cbd877ba4934d411d5273f64c98a43e56f8e7a45078275d"" 
   strings: 
      $s1 = ""ibrndbiclw.dll"" fullword ascii 
      $s2 = ""AppPolicyGetProcessTerminationMethod"" fullword ascii 
      $s3 = ""Type Descriptor'"" fullword ascii 
      $s4 = ""operator co_await"" fullword ascii 
   condition: 
      uint16(0) == 0x5a4d and filesize < 500KB and all of them 
};created:2021-09-13T14:50:50;description:Files - file 7A86.dll;expiration:True;indicator:d6a13a17c05f84c20b699785efba7b7af4b8cb7f;is_active:1;role:True;title:case_5087_7A86;type:YARA;id:3228241913;content:rule case_5087_3 { 
   meta: 
      description = ""Files - file 3.exe"" 
      author = ""The DFIR Report"" 
      reference = ""https://thedfirreport.com"" 
      date = ""2021-08-30"" 
      hash1 = ""37b264e165e139c3071eb1d4f9594811f6b983d8f4b7ef1fe56ebf3d1f35ac89"" 
   strings: 
      $s1 = ""https://sectigo.com/CPS0"" fullword ascii 
      $s2 = ""?http://crl.usertrust.com/USERTrustRSACertificationAuthority.crl0v"" fullword ascii 
      $s3 = ""2http://crl.comodoca.com/AAACertificateServices.crl04"" fullword ascii 
      $s4 = ""3http://crt.usertrust.com/USERTrustRSAAddTrustCA.crt0%"" fullword ascii 
      $s5 = ""        <requestedExecutionLevel level=\""asInvoker\""/>"" fullword ascii 
      $s6 = ""http://ocsp.sectigo.com0"" fullword ascii 
      $s7 = ""2http://crt.sectigo.com/SectigoRSACodeSigningCA.crt0#"" fullword ascii 
      $s8 = ""2http://crl.sectigo.com/SectigoRSACodeSigningCA.crl0s"" fullword ascii 
      $s9 = ""ealagi@aol.com0"" fullword ascii 
      $s10 = ""bhfatmxx"" fullword ascii 
      $s11 = ""orzynoxl"" fullword ascii 
      $s12 = ""  <trustInfo xmlns=\""urn:schemas-microsoft-com:asm.v3\"">"" fullword ascii 
      $s13 = ""      <!--The ID below indicates application support for Windows 8.1 -->"" fullword ascii 
      $s14 = ""      <!--The ID below indicates application support for Windows 8 -->"" fullword ascii 
      $s15 = ""O:\\-e%"" fullword ascii 
      $s16 = ""      <!--The ID below indicates application support for Windows 10 -->"" fullword ascii 
      $s17 = ""      <!--The ID below indicates application support for Windows 7 -->"" fullword ascii 
      $s18 = ""      <!--The ID below indicates application support for Windows Vista -->"" fullword ascii 
      $s19 = ""  <compatibility xmlns=\""urn:schemas-microsoft-com:compatibility.v1\"">"" fullword ascii 
      $s20 = ""  </compatibility>"" fullword ascii 
   condition: 
      uint16(0) == 0x5a4d and filesize < 1000KB and 8 of them 
};created:2021-09-13T14:50:50;description:Files - file 3.exe;expiration:True;indicator:901a241c9bbd91aadda3ee7ed4cdc96eaa27d03a;is_active:1;role:True;title:case_5087_3;type:YARA;id:3228241914;content:rule case_5087_start_bat { 
   meta: 
      description = ""Files - file start.bat"" 
      author = ""The DFIR Report"" 
      reference = ""https://thedfirreport.com"" 
      date = ""2021-08-30"" 
      hash1 = ""63de40c7382bbfe7639f51262544a3a62d0270d259e3423e24415c370dd77a60"" 
   strings: 
      $x1 = ""powershell.exe Set-ExecutionPolicy -ExecutionPolicy Bypass -Scope Process -Force"" fullword ascii 
      $x2 = ""powershell.exe -executionpolicy remotesigned -File .\\Get-DataInfo.ps1 %method"" fullword ascii 
      $x3 = ""powershell.exe -executionpolicy remotesigned -File .\\Get-DataInfo.ps1 %1)"" fullword ascii 
      $s4 = ""set /p method=\""Press Enter for collect [all]:  \"""" fullword ascii 
      $s5 = ""echo \""Please select a type of info collected:\"""" fullword ascii 
      $s6 = ""echo \""all ping disk soft noping nocompress\"""" fullword ascii 
   condition: 
      filesize < 1KB and all of them 
};created:2021-09-13T14:50:50;description:Files - file start.bat;expiration:True;indicator:ca8476a53823a9644533a81cb37c52d4eb22750e;is_active:1;role:True;title:case_5087_start_bat;type:YARA;id:3228241915;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:29154f55df2171ccfe6316a77496d451;is_active:1;role:True;title:;type:FileHash-MD5;id:3228241916;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:72296b01b37d6baefaecbc5bdecfadb6;is_active:1;role:True;title:;type:FileHash-MD5;id:3228241917;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:a5daabadee5233ad9941b39e39f6ce7b;is_active:1;role:True;title:;type:FileHash-MD5;id:3228241918;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:b656845e2755920db24364b42ce2ea18;is_active:1;role:True;title:;type:FileHash-MD5;id:3228241919;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:6a31edc3e73957bb25e51abfd4efb4fd5eb51dbc;is_active:1;role:True;title:;type:FileHash-SHA1;id:3228241920;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:7ed8d5a2e09d48ccb84d790abfa7a1556b9d4990;is_active:1;role:True;title:;type:FileHash-SHA1;id:3228241921;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:856366815cac27775b944a236ad3a6f523a4136d;is_active:1;role:True;title:;type:FileHash-SHA1;id:3228241922;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:c07dbec39149a3bb20a54b9eeb2e453a7c5bdd2f;is_active:1;role:True;title:;type:FileHash-SHA1;id:3228241923;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:31f8ad3f818ef0635109cecfff8f2e03f5e47a9a62a2fe548bc10393e3318d4f;is_active:1;role:True;title:;type:FileHash-SHA256;id:3228241924;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:5c649554d9ea77e98dbf0df0d4010255075c6c5324fc7526c667a180c06a050a;is_active:1;role:True;title:;type:FileHash-SHA256;id:3228241925;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:bea4dcabc10ad8b7ef79579a1c511ec42cb98ddd1cf607a5a5ee369b28aa144b;is_active:1;role:True;title:;type:FileHash-SHA256;id:3228241926;content:;created:2021-09-13T14:50:50;description:;expiration:True;indicator:c867fbc963c6975918f6744e196e0cc648777c7252ca740254e6eed9918c6fd1;is_active:1;role:True;title:;type:FileHash-SHA256"
